dataset,model,decile,n_obs,predicted_mean,actual_mean,predicted_p50,actual_p50
linear,TreeMMM,9,2700,24.078000675088212,24.122688361312104,24.035349067611712,24.127390362648033
linear,TreeMMM,10,2700,27.218973137428048,27.286133259416218,26.911515237269857,27.205418430521817
linear,GLMM-Naive,1,2700,8.653135823033034,8.633072260303813,8.932770760900425,8.7716296788109
linear,GLMM-Naive,2,2700,11.752608967881496,11.777559204619308,11.814058864021982,11.766752656636926
linear,GLMM-Naive,3,2700,13.723274982233962,13.700920615186588,13.728644747412725,13.7397638344019
linear,GLMM-Naive,4,2700,15.446867205169895,15.436427434559999,15.45072121992611,15.454206976927797
linear,GLMM-Naive,5,2700,17.094803333764006,17.082791120325254,17.092029133048083,17.081187874375587
linear,GLMM-Naive,6,2700,18.70580751073423,18.708801460176453,18.675777738687884,18.683211720215304
linear,GLMM-Naive,7,2700,20.372876831004653,20.373551035928074,20.38961997520162,20.401319354807008
linear,GLMM-Naive,8,2700,22.085857811520782,22.108492418900788,22.089339844740536,22.132224197450405
linear,GLMM-Naive,9,2700,24.107043425116057,24.11970777969469,24.054429283665712,24.125339513386123
linear,GLMM-Naive,10,2700,27.25056684675243,27.292277274580105,26.961574003653602,27.204439619849893
linear,GLMM-Oracle,1,2700,8.653135823033034,8.633072260303813,8.932770760900425,8.7716296788109
linear,GLMM-Oracle,2,2700,11.752608967881496,11.777559204619308,11.814058864021982,11.766752656636926
linear,GLMM-Oracle,3,2700,13.723274982233962,13.700920615186588,13.728644747412725,13.7397638344019
linear,GLMM-Oracle,4,2700,15.446867205169895,15.436427434559999,15.45072121992611,15.454206976927797
linear,GLMM-Oracle,5,2700,17.094803333764006,17.082791120325254,17.092029133048083,17.081187874375587
linear,GLMM-Oracle,6,2700,18.70580751073423,18.708801460176453,18.675777738687884,18.683211720215304
linear,GLMM-Oracle,7,2700,20.372876831004653,20.373551035928074,20.38961997520162,20.401319354807008
linear,GLMM-Oracle,8,2700,22.085857811520782,22.108492418900788,22.089339844740536,22.132224197450405
linear,GLMM-Oracle,9,2700,24.107043425116057,24.11970777969469,24.054429283665712,24.125339513386123
linear,GLMM-Oracle,10,2700,27.25056684675243,27.292277274580105,26.961574003653602,27.204439619849893
